.476 Enfield,1881,UK,,H,11.6mx22mR,,,,5.5,0.472,,22mm,a.k.a. .476 Eley. Black powder/smokeless handgun cartridge.
.480 Ruger,2001,US,2,H,12.1x32.6mmR,1539,1315,1.709,26.5,0.475,0.150,32.6mm,Shortened .475 Linebaugh case.
.500 Auto Max,2003,US,3,H,12.7x57.2mm,1950,2533,2.598,45.3,0.500,0.185,57.2mm,Rimmless variant of .500
.500 Linebaugh,1986,US,,H,13x35.7mmR,1300,1632,2.511,,0.510,,35.7mm,
.500 S&W Magnum,2003,US,3,H,12.7x57.2mmR,1950,2533,2.598,45.3,0.500,0.185,57.2mm,One of the most powerful handgun-specific cartridges.
.505 Gibbs,1910,UK,,R,12.8x80mm,2300,6180,5.374,,0.505,,80mm,
.577 Snider,1867,UK,,R,14.5x51mmR,1380,1689,2.448,30,0.570,,51mm,The first black powder cartridge for British military use. Later loaded smokeless.
.577/450 Martini-Henry,1871,UK,,R,11.43x61mmR,1600,1870,2.338,38,0.455,,61mm,Rimmed. The second black powder (later smokeless) cartridge for British military use. Evolved from the .577 Snider case, lengthened and necked down to .45 (nominal) caliber. Used in the Martini rifles from 1871 to the present.
.600 Nitro Express,1899,UK,,R,15.7x76mmR,2050,7614,7.428,120,0.622,,76mm,Rimmed. Jeffrey, 900-grain (58 g) bullet.
.700 Nitro Express,1988,UK,,R,17.8x89mmR,2000,10566,10.566,,0.700,,89mm,Big game cartridge.
.950 JDJ,2014,US,1,R,24.1x70mm,2200,38685,35.168,3600,0.950,,70mm,Largest centerfire rifle cartridge as of 2018
2 mm Kolibri,1914,Austria-Hungary,0,H,2.7x9mm,650,3,0.009,,0.108,,9mm,Obsolete. Smallest round ever manufactured.
4.6x30mm,2000,Germany,,H,4.6x30mm,2410,400,0.332,,0.183,,30mm,Bottlenecked high velocity PDW cartridge designed by Heckler & Koch in conjunction with the Heckler & Koch MP7 personal defense weapon.
5 mm Remington Rimfire Magnum,1970,US,0,R,5x26mm,2100,327,0.311,,0.205,,26mm,Obsolete. Rimfire.
5.6mm Gw Pat 90,1987,Switzerland,,R,5.56x45mm,3168,1243,0.622,28.5,0.224,,45mm,Swiss military version of the 5.56x45mm NATO / 223 Remington. For SIG SG 550 and variants.
5.7x28mm,1990,Belgium,1,R,5.7x28mm,2800,400,0.286,13,0.224,,28mm,Bottlenecked high velocity PDW cartridge designed by FN Herstal. Designed in response to NATO requests for a replacement for the 9x19mm cartridge. Frequently used in the FN Five-seven Pistol.
5.8x42mm DBP87,1987,China,,R,5.8x42mm,3100,1395,0.9,,0.236,,42mm,Chinese service rifle QBZ-95
5.45x18mm,1973,USSR,1,H,5.45x18mm,1000,94,,,0.222,,18mm,Developed for PSM pistol.
5.45x39mm,1974,USSR,1,R,5.45x39mm,2810,1052,0.749,,0.215,,39mm,Developed for AK-74.
5.56x45mm NATO,1960,US,,R,5.56x45mm,3130,1196,0.764,28.5,0.224,0.395,45mm,Militarized .223 Rem.
